GEO_ID,NAME,S1701_C03_009E,S1701_C03_010E,S1701_C03_016E,S1701_C03_017E
0500000US13251,"Screven County, Georgia",14.7,36.6,27.3,14.7
0500000US13253,"Seminole County, Georgia",11.1,42,43.3,10.8
0500000US13255,"Spalding County, Georgia",16.1,34.5,26,15.8
0500000US13257,"Stephens County, Georgia",17,37.5,15,17.1
0500000US13259,"Stewart County, Georgia",6.4,50.5,0,6.5
0500000US13261,"Sumter County, Georgia",17.6,42.8,50.3,16
0500000US13263,"Talbot County, Georgia",14.6,21.1,5.3,15.1
0500000US13265,"Taliaferro County, Georgia",21.5,40.5,42.9,20.7
0500000US13267,"Tattnall County, Georgia",20.6,44.9,52.6,20.2
0500000US13269,"Taylor County, Georgia",17,41.9,54.1,16.9
0500000US13271,"Telfair County, Georgia",18.6,43.8,25.2,18.1
0500000US13273,"Terrell County, Georgia",9.2,48.7,12.9,9.6
0500000US13275,"Thomas County, Georgia",16,42,52.2,15.3
0500000US13277,"Tift County, Georgia",20.6,41,33.7,18.5
0500000US13279,"Toombs County, Georgia",20.6,42.5,36.9,17.8
0500000US13281,"Towns County, Georgia",15.6,90.3,76,15.6
0500000US13283,"Treutlen County, Georgia",10.5,45.2,0,10.6
0500000US13285,"Troup County, Georgia",14.7,35.8,26.9,14.2
0500000US13287,"Turner County, Georgia",12.4,40.7,15.3,12.6
0500000US13289,"Twiggs County, Georgia",21.9,40,-,21.9
0500000US13291,"Union County, Georgia",17.5,37.5,74.6,16
0500000US13293,"Upson County, Georgia",17.9,33.9,67.3,16.2
0500000US13295,"Walker County, Georgia",17.1,23.8,11.8,17.2
0500000US13297,"Walton County, Georgia",10.4,33.4,36.9,10.2
0500000US13299,"Ware County, Georgia",19.7,40.8,30.5,19.5
0500000US13301,"Warren County, Georgia",15.3,40.9,0,15.3
0500000US13303,"Washington County, Georgia",12.5,40.9,61.2,10.5
0500000US13305,"Wayne County, Georgia",16.9,39.5,45.9,16.2
0500000US13307,"Webster County, Georgia",21.8,27.3,-,21.8
0500000US13309,"Wheeler County, Georgia",20,48.9,0,20
0500000US13311,"White County, Georgia",19.2,3.4,53,18.6
0500000US13313,"Whitfield County, Georgia",18.9,32.9,29.6,14.1
0500000US13315,"Wilcox County, Georgia",19.1,41.9,64.3,19.1
0500000US13317,"Wilkes County, Georgia",15.4,44.5,38.4,15.9
0500000US13319,"Wilkinson County, Georgia",14.9,29.2,59.1,13
0500000US13321,"Worth County, Georgia",15.8,32,51.8,14.7
0500000US15001,"Hawaii County, Hawaii",16.7,16.6,33.7,15.7
0500000US15003,"Honolulu County, Hawaii",9.3,8.1,12.6,9.1
0500000US15005,"Kalawao County, Hawaii",6.5,-,0,6.5
0500000US15007,"Kauai County, Hawaii",11.9,16.8,13.8,11.6
0500000US15009,"Maui County, Hawaii",11.5,44.2,17.5,11.3
0500000US16001,"Ada County, Idaho",11.8,26.2,25.3,11.2
0500000US16003,"Adams County, Idaho",13.3,-,46.2,13.4
0500000US16005,"Bannock County, Idaho",15.1,29.1,24.5,14.9
0500000US16007,"Bear Lake County, Idaho",12.4,0,36,12.2
0500000US16009,"Benewah County, Idaho",13,22.9,39.1,13.2
0500000US16011,"Bingham County, Idaho",12.8,19.5,23.9,10.2
0500000US16013,"Blaine County, Idaho",11,0,17.2,9.1
0500000US16015,"Boise County, Idaho",15.5,32,32.6,14.7
0500000US16017,"Bonner County, Idaho",15.4,0,10.4,15.5
0500000US16019,"Bonneville County, Idaho",10.9,16,24.8,10.4
0500000US16021,"Boundary County, Idaho",16,13.3,13.5,16
0500000US16023,"Butte County, Idaho",13.5,0,16.2,13.3
0500000US16025,"Camas County, Idaho",18.2,-,15.5,18.9
0500000US16027,"Canyon County, Idaho",19.6,12.7,31.2,16.6
0500000US16029,"Caribou County, Idaho",9.1,0,29.3,8.2
0500000US16031,"Cassia County, Idaho",14.4,0,28.3,10
0500000US16033,"Clark County, Idaho",26.7,-,44.6,15.3
0500000US16035,"Clearwater County, Idaho",12.8,0,21.8,12.7
0500000US16037,"Custer County, Idaho",20,-,5.7,20.5
0500000US16039,"Elmore County, Idaho",13.7,0,34.3,13.1
